Title,Review
알테르 에고 (Alter Ego),달달하니 앞으로 이야기가 기대되네요
알테르 에고 (Alter Ego),차와 카페를 이야기와 다정하고 상식적인 어른남주가 취향이었어요 상처많은 두사람의 다정한 사랑이야기를 매력적으로 잘쓴 작품
알테르 에고 (Alter Ego),잔잔하면서 몰입되는 스토리가 요즘에 끌려서 재미있게 봤습니다 다정한 사람들의 사랑을 볼 수 있어서 설레네요    
알테르 에고 (Alter Ego),잔잔한 일상물이지만 지루하지않고 술술 읽혀요  남주가 다정해서 너무 좋네요  힐링되는 느낌   
알테르 에고 (Alter Ego),재미있어요 추천합니다  잘봤습니다 캐릭터들이 매력있고 관계성이 좋아요
알테르 에고 (Alter Ego),읽는내내 소설이 햇살 같다는 생각을 계속 했네요  
알테르 에고 (Alter Ego),어른들의 연애라 설레요
알테르 에고 (Alter Ego),술술 읽히고 너무 재밌어요 
알테르 에고 (Alter Ego),여주 남주 관계성이 취저에요  
알테르 에고 (Alter Ego),남주가 넘 다정해서 계속 보게됨   
알테르 에고 (Alter Ego),다정남 좋아요 재미있어요
알테르 에고 (Alter Ego),전잭 재밌게 읽어서 기대됩니다   
알테르 에고 (Alter Ego),흥미롭고 재미있어요
알테르 에고 (Alter Ego),재하랑 지하가 상황이 서로 다른데 그 다른점으로 인해서 서로 보완을 잘 해줄거같아서 넘 기대되고 재밌을거같아요        
알테르 에고 (Alter Ego),블렌딩 하는 얘기가 꽤 많이 나와요 잔잔하고 남주가 다정함
알테르 에고 (Alter Ego),잔잔하게 흘러가면서도 재미있어요
알테르 에고 (Alter Ego),잔잔하니 읽기 좋네요  재밌게 보고있습니다 
알테르 에고 (Alter Ego),좋아하는 작가님 신작이라 흥미진진
알테르 에고 (Alter Ego),설정이 신선하고 흥미로워서 재밌게 봤습니다 캐릭터들이 매력있고 관계성이 좋아서 흥미진진합니다 
알테르 에고 (Alter Ego),요즘 트렌드와 다르게 다정하고 다감한 남주네요 음흉함도 없고 여주 응원하는 모습이 보기 좋아요
알테르 에고 (Alter Ego),재밌게 잘봤습니다 
알테르 에고 (Alter Ego),다정남 좋아하는데 재밌어요 
알테르 에고 (Alter Ego),연예계물 좋아하는데 굿굿 다정남주 겨울에 딱이에요
알테르 에고 (Alter Ego),매력적인 남주라 흥미롭네요
알테르 에고 (Alter Ego),설정이 특이하네요  앞으로가 궁금해져요 
알테르 에고 (Alter Ego),진짜 존잼이에요 작품 분위기도 좋은데 여남주 다 매력있음 
알테르 에고 (Alter Ego),둘다 사연이 많은 캐릭터라     처음부터 쉽지않네요   
알테르 에고 (Alter Ego),능력남 다정녀 재밌게 잘봤어요
알테르 에고 (Alter Ego),그래 이 맛이야         
알테르 에고 (Alter Ego),둘이 함께 성장해가고 인생의 동반자 느낌인데 사랑인것만 모르네
알테르 에고 (Alter Ego),남주랑 여주가 매력있고 어른스러워요
알테르 에고 (Alter Ego),등장인물들이 매력적이라 술술 읽기 좋은 작품이에요
알테르 에고 (Alter Ego),연예계물 없어서 못보는 사람이에요 아이돌출신 배우와 작은 커스텀티 카페의 사장이라는 각자의 직업도 흥미롭고  두사람의 나름 불미스러웠던    만남도 묘한 인연이라 재밌어요  잔잔하면서도 무던한  어른의 연애같은 분위기가 매력적입니다  차에 대한 설명과 묘사도 진심이셔서 글 속에 부드럽고 따뜻한 차향이 나는 듯해요 겨울에 읽기 딱 맞는 다정한 분위기라 좋고요  재하도 지아도 서로를 받아들이는 과정을 차분히 보내는 모습에 제 마음도 따끈따끈해졌어요
"헤어짐으로, 부터 (15세 이용가)",클리셰지만 워낙 글을 잘쓰셔서 재밌어요   
"헤어짐으로, 부터 (15세 이용가)",남주와의 평범한 드라이브가 자신에게 주는 선물같아 꿈 같은 하루라고 하는 여주가 가엾고 안타까워서 읽으면서 눈물이 핑 돌았어요 여주의 임신이 전환점이 되었을 수도 있지만 남주도 여주에 대한 감정을 이제라도 깨닫게 되어 다행이네요 게다가 여주가 입으라고 주는 대게 티셔츠도 입고 딸기도 씻어주고 다정한 면이 보여서 위로가 되었어요 다음화가 궁금해져서 연재 따라가요
"헤어짐으로, 부터 (15세 이용가)",가볍게 시작했는데 생각보다 재밌습니다 
"헤어짐으로, 부터 (15세 이용가)",예상 가능한 전개인데 캐디가 좋아서 재밌어요
"헤어짐으로, 부터 (15세 이용가)",작가님 글 너무 좋네요   빠져들어서 읽게돼요
"헤어짐으로, 부터 (15세 이용가)",감정선이 섬세해서 잘 보고 있어요  
"헤어짐으로, 부터 (15세 이용가)",잔잔물 좋아해서 시간 가는 줄 모르고 읽었어요
"헤어짐으로, 부터 (15세 이용가)",작가님 작품 첨인데 넘 재밌어요 
"헤어짐으로, 부터 (15세 이용가)",재밌게 잘 봤습니다 텐션이 좋아요
"헤어짐으로, 부터 (15세 이용가)",등장인물 개성 있고 케미가 좋아요
"헤어짐으로, 부터 (15세 이용가)",계약결혼 좋아하는데 재밌네요 
"헤어짐으로, 부터 (15세 이용가)",서사 탄탄해서 흡입력 있어요 
"헤어짐으로, 부터 (15세 이용가)",남주가 변해가는 모습이 좋네요 재밌게 읽고 있어요
"헤어짐으로, 부터 (15세 이용가)",나쁜 남자가 후회하는 건 언제나 옳아요
"헤어짐으로, 부터 (15세 이용가)",베이비메신저 설정도 들어있고 흥미진진해요 
"헤어짐으로, 부터 (15세 이용가)",남주가 나쁜데 섹시한 캐릭터에요
"헤어짐으로, 부터 (15세 이용가)",재밌고 감정 변화가 흥미로워요  
"헤어짐으로, 부터 (15세 이용가)",정말 제대로 로맨스의 정수
"헤어짐으로, 부터 (15세 이용가)",재밌어요 남주 여주 매력적인 캐릭터에요
"헤어짐으로, 부터 (15세 이용가)",등장인물 매력이 넘치네요 
"헤어짐으로, 부터 (15세 이용가)",시작이 흥미롭네요  재밌게 볼게요 
"헤어짐으로, 부터 (15세 이용가)",표지 속 남주 마음에 들어서 봤는데 스토리도 흥미진진하네요
"헤어짐으로, 부터 (15세 이용가)",문체도 좋고 주인공들의 관계가 흥미진진했어요
"헤어짐으로, 부터 (15세 이용가)",캐릭터들이 입체적이고 일상적인 묘사가 생생해서 이야기에 깊이가 느껴져요
"헤어짐으로, 부터 (15세 이용가)",정말 재미있게 잘 읽었습니다
"헤어짐으로, 부터 (15세 이용가)",남주와 여주 사이 감정선과 분위기가 좋아요
"헤어짐으로, 부터 (15세 이용가)",앞으로 전개가 정말 기대됩니다
"헤어짐으로, 부터 (15세 이용가)",설정도 캐릭터도 맘에 들어서 다음화 빨리 보고 싶어요 
"헤어짐으로, 부터 (15세 이용가)",준혁이 얼마나 후회할지 기대됩니다
"헤어짐으로, 부터 (15세 이용가)",전개 속도 적당하고 필력 좋으셔서 재밌게 봤습니다
"헤어짐으로, 부터 (15세 이용가)",흥미로운 소재와 스토리라 재밌어요
"헤어짐으로, 부터 (15세 이용가)",글이 정말 유려해요 
"헤어짐으로, 부터 (15세 이용가)",전체적으로 취향에 맞아서 재밌게 읽고 있어요
"헤어짐으로, 부터 (15세 이용가)",클리셰인데 호로록 읽히네요 
"헤어짐으로, 부터 (15세 이용가)",흥미진진하네요  연재 기대됩니다 
"헤어짐으로, 부터 (15세 이용가)",캐릭터 좋아서 이야기 진행될수록 흥미로워요
"헤어짐으로, 부터 (15세 이용가)",계략남 좋아하는데 취향저격이에요
"헤어짐으로, 부터 (15세 이용가)",키워드 취향이라 넘 기대돼요   
"헤어짐으로, 부터 (15세 이용가)",등장인물이 입체적이에요 스토리도 좋고 잘 봤어요
"헤어짐으로, 부터 (15세 이용가)",사랑은 잊기 쉽지 않은 것을 다시금 알 수 있네요
"헤어짐으로, 부터 (15세 이용가)",서사도 흥미롭고 너무 재밌어요
"헤어짐으로, 부터 (15세 이용가)",캐디  관계성 맘에 들어서 재미있습니다 
"헤어짐으로, 부터 (15세 이용가)",남주와 여주가 좋아하는 스타일이라 좋았어요
"헤어짐으로, 부터 (15세 이용가)",아는맛인데 후루룩 재미있게 읽었어요
"헤어짐으로, 부터 (15세 이용가)",남주여주 사이가 흥미로워서 몰입이 잘 됩니다
"헤어짐으로, 부터 (15세 이용가)",  아닌것도 분위기 넘 좋아요  
"헤어짐으로, 부터 (15세 이용가)",주인공들이 매력적이고 술술템이에요   
"헤어짐으로, 부터 (15세 이용가)",여주 성격 마음에 들어요
"헤어짐으로, 부터 (15세 이용가)",등장인물 케미가 좋아서 재밌는 것 같아요    
"헤어짐으로, 부터 (15세 이용가)",이윤정 작가님 믿고 시작했는데 몰입감 좋아요
야만의 습성(15세 개정판),아는 맛인데 재밌어요 
야만의 습성(15세 개정판),재미있어요 전체적으로 만족스럽네요
야만의 습성(15세 개정판),계략남 후회남 좋아해서 재밌게 잘 읽었어요 
야만의 습성(15세 개정판),은재가 우창에게휘둘릴것 같아 걱정이네요  그래도 클리셰라 보는 재미가 있어요 
야만의 습성(15세 개정판),나중에 후회나 실컷 해라
야만의 습성(15세 개정판),잘 봤어요  남주여주 어울려요 
야만의 습성(15세 개정판),키워드 좋고 재밌어 보여요
야만의 습성(15세 개정판),좋아하는 작가님이라 넘 기대돼요 
야만의 습성(15세 개정판),취향인 설정이 있어서 재미있어요 
야만의 습성(15세 개정판),케미가 조아요     
야만의 습성(15세 개정판),좋아하는 키워드인데 갈수록 재밌어요  
야만의 습성(15세 개정판),남주 여주 좋아하는 스타일이네요
야만의 습성(15세 개정판),서사와 스토리 마음에 듭니다 
야만의 습성(15세 개정판),차분한 성격의 은재가 매력있네요
야만의 습성(15세 개정판),남주 성깔이 참      고약하다
야만의 습성(15세 개정판),여주 매력 있고 재미있어요
야만의 습성(15세 개정판),관계성 감정선 서사 탄탄한 편이에요
야만의 습성(15세 개정판),남주 후회하는 거 너무 좋아여    
야만의 습성(15세 개정판),재밌어서 시간 가는 줄 모르고 읽었어요
야만의 습성(15세 개정판),몰입이 잘 돼서 술술 읽었네요
야만의 습성(15세 개정판),재밌게 잘 봤습니다 전개 속도도 좋아요
야만의 습성(15세 개정판),관계가 너무 취향이네요
야만의 습성(15세 개정판),남자 주인공 좋아하는 스타일이에요
야만의 습성(15세 개정판),주인공 매력이 넘쳐서 재밌어요   
야만의 습성(15세 개정판),키워드 좋은데 스토리도 재미있어요
야만의 습성(15세 개정판),착한여주 좋아해서 재밌어용  
야만의 습성(15세 개정판),키워드 끌려서 봤는데 기대보다 재밌어요
야만의 습성(15세 개정판),캐릭터 좋고 스토리 흥미진진해서 잘봤어요   
야만의 습성(15세 개정판),등장인물들의 감정선이 흥미로워요
야만의 습성(15세 개정판),취향이라 다음 편도 기대됩니다 
야만의 습성(15세 개정판),두 사람 다 매력 있는 캐릭터라 재밌어요
야만의 습성(15세 개정판),표지랑 스토리랑 잘 맞아요  
야만의 습성(15세 개정판),좋아하는 설정이 많아서 재밌게 읽고 있습니다
야만의 습성(15세 개정판),점점 재밌네요 남주 여주 사이 텐션도 좋아요
야만의 습성(15세 개정판),너무 재밌어요 다음화도 빨리 보고 싶어요
야만의 습성(15세 개정판),설정 소재 취향이라서 잘 보고 있어요
야만의 습성(15세 개정판),남주가 좋아하는 타입이라 기대되네요    
야만의 습성(15세 개정판),킬링타임용으로 괜찮습니다  재밌게 읽었습니다 
야만의 습성(15세 개정판),술술 봤어요 등장인물들이 매력 있어요
야만의 습성(15세 개정판),후회남 좋아해서 취향저격입니다   
야만의 습성(15세 개정판),갈수록 재밌어서 계속 보게 돼요 
야만의 습성(15세 개정판),재밌게 보고 있어요 스토리 좋네요
야만의 습성(15세 개정판),주인공들의 감정 변화가 흥미진진합니다 
야만의 습성(15세 개정판),키워드 보고 시작했는데 생각보다 재밌어요
야만의 습성(15세 개정판),표지도 예쁘고 스토리도 재밌게 보고 있어요  
야만의 습성(15세 개정판),남주 여주 케미 좋고 술술템이에요 
야만의 습성(15세 개정판),재밌게 볼게요 남여주 관계성 마음에 드네요
야만의 습성(15세 개정판),아직 초반이지만 흥미진진하고 재밌어요
야만의 습성(15세 개정판),화수목 작가님 좋아해서 재밌게 봤어요
야만의 습성(15세 개정판),캐릭터 맘에 들어서 술술 읽었어요
메리 사이코 (15세 개정판), 주동안의 시간이 순삭됐습니다   너무 재미있어요
메리 사이코 (15세 개정판),쫄깃쫄깃  흥미진진  내용이 궁금해요
메리 사이코 (15세 개정판),답답하고 맘에안듦 
메리 사이코 (15세 개정판),아니 나만 춘복씨 뒷얘기가 궁금한가  
메리 사이코 (15세 개정판),서령과 우신의 어린시절이 너무 고단하고 힘겨웠는데 서로를 애정하고 보듬고 의지하게 되어서 정말 다행입니다   외전 에서는 아이도 보고싶었는데   우신과 서령의 일상도 역시 좋네요 
메리 사이코 (15세 개정판),우신의소망대로 평범한신혼부부처럼 살면안될까요  끝까지 작가님   우신맘불안하게   행복달달하게    
메리 사이코 (15세 개정판),와   웹소설읽으면서 숨죽이며 그 긴박감 쵝오
메리 사이코 (15세 개정판),이 소설 때문에 나의     년 연말이랑     년 새해가 다 날아가버렸네요  어쩌다 이 웹툰을      년 마지막날 알게 되어서     원래 잔잔한 로맨스 소설만 좋아하는 내 취향이 아닌데도 너무 재미있어서 포기도 못하고 눈을 부릅뜨고는 새해를 꼬박 눈뜨고 새었네요  내용도 탄탄하고 긴 소설인데도 지겹지 않고 읽으면 읽을수록 빠져듭니다 
메리 사이코 (15세 개정판), 월  일을 이 작품과 함께 보냈습니다  작가님과 앞으로 신작 연재도 달리고 싶어요  쇼비맙 감사합니다
메리 사이코 (15세 개정판),위험한작품입니다    앉은자리에서 다봄    할일 하나도 못햇어여   
메리 사이코 (15세 개정판),        화가 이어지지않아요 중간에 내용이 빠진 것 같은데 확인해주세요
메리 사이코 (15세 개정판),에구  초반 남편찾아다니는 부분에선 진짜 재밌었는데 찾고나선   넘 산만하고 난해지면서 내용이 억지스럽네
메리 사이코 (15세 개정판),마지막 기차씬에서 태양의 후예      다시 너를 을 들으면서 보니 몰입감 미쳤어요  인생작    이 글 읽은뒤로 군대물 파기 시작     
메리 사이코 (15세 개정판),글 뿐인데도 기억에 남는 건 영화같아요  세부적인 묘사가 끝내줘서 흐름이 굉장히 매끄러워요  소재도 흔하지않고 인물 성격이 독특해서 재밌게 읽었습니다  이제 다른 작품으로는 만족이 안돼요 
메리 사이코 (15세 개정판),외전      그럼 외전  는 언제 나오나요    외전 기다리겠습니다     
메리 사이코 (15세 개정판),키야가 너무 불쌍해요   
메리 사이코 (15세 개정판),        화 같은화 중복이고  이전에도 중복된 횢차가 있는데 수정하거나 환불해주셔야하는거 아닌가요 
메리 사이코 (15세 개정판),       화 같은 내용입니다  환불처리 부탁드립니다 
메리 사이코 (15세 개정판),   화와    화가 똑같은 거 아닌가요  
메리 사이코 (15세 개정판),갱장한 작품임     매우 독특하고 재밌고 말도 찰지고   서령아     너 혼자 갔어야지        
메리 사이코 (15세 개정판),또 잃어버렸어  아무 데도 없어   가슴이 텅 빈거 같네요   처음으로 완결되기전에 두번 읽어본 작품이네요 정말 재밌어요
메리 사이코 (15세 개정판),너무 재밌어요   
메리 사이코 (15세 개정판),주인공이 너무 독특하고 세계관 설정도 너무 재미써요 계속 달리겠습니다
메리 사이코 (15세 개정판),작가님 센스쟁이   억 소재도 슬쩍 다루시고   
메리 사이코 (15세 개정판),   화와    화가 같아요
메리 사이코 (15세 개정판),이작품 끝나면 낙이없는데 스토리가 넘재미있어 다른거 시시한데
메리 사이코 (15세 개정판),스토리가 이젠 후반부로 접어든건가요  서령이 러시아에서의 기억이 돌아오면 마무리인가요  작가님 
메리 사이코 (15세 개정판),소재도 독특하고 여주 성격이 한따까리해서 보는 맛이 있었어요    
메리 사이코 (15세 개정판),걍 미쳤네요  사랑합니다 작가님 
메리 사이코 (15세 개정판),이우신 진짜 이 이름부터 홍채까지 맛도리인 인간
메리 사이코 (15세 개정판),미친거같에 너무 재밋어 돌아버리게 어
메리 사이코 (15세 개정판),기다리기힘들어요 빨리보고싶어요
메리 사이코 (15세 개정판),하 오늘도     맛있다   이걸로 월요병 고칩니다
메리 사이코 (15세 개정판),여주 딱 내 스타일 색다른 소재에 새벽 시까지 정주행했네요  원래 리뷰 안 쓰는데 오늘부터 작가님 팬할래요  앞으로 좋은 작품 마니마니 기대할께요  
메리 사이코 (15세 개정판),시작해서 바로 다 왔는데 그 다음이 없네요    하루에  화  화씩 올려주시면 안될까요
메리 사이코 (15세 개정판),작가님 잘보고 있습니다   
메리 사이코 (15세 개정판),드뎌 잡았다    이우신 아니 김현
메리 사이코 (15세 개정판),여주 강단이 있어 좋아요 연재를 건드려서 속이 탄다는거    화까지 마구 올려줘도 덜 답답할듯 너무 속도가 안나가서 답답
메리 사이코 (15세 개정판),인정  내용이 정말 흥미진진 해요
메리 사이코 (15세 개정판),와우  이건 찐이네요  초반 설정이 막  기다렸다 유료결재하고 읽어야겠어요  끝까지 초반 긴장감 유지해 주길      최신화까지 못 기다리고 질렀네요  아직 러시아 사연도 제대로 안 풀렸으니 이제 중반 넘은 듯 싶은데 한 개씩 결재하며 워찌 기다리누  
메리 사이코 (15세 개정판),재미있어요 오래간만에 푹빠져 시간가는줄모르고 읽었네요 완결작이 아닌게 아쉽습니다
메리 사이코 (15세 개정판),메리 사이코 제목부터 스토리 주인공까지 완벽  
메리 사이코 (15세 개정판),대박   신선한 소재인데 정말 재밌어요   회까지 순식간에 읽었습니다 연재물이라 앞으로 어떻게 기다리죠  
메리 사이코 (15세 개정판),스토리가 신선하고 주인공들의 성격들이 둘다 강해서 결말이 무척 기대되요
메리 사이코 (15세 개정판),전개가 무난하고 캐릭터설정이 맘에 들어서 간만에 쭉 읽었네요 다음화도 너무 기대되요
러브:제로(Love:Zero)(15세 개정판),재미있게 잘봤습니다
러브:제로(Love:Zero)(15세 개정판),남주의 까칠한 성격이 왜 매력적으로 보이는건지 작가님의 필력이 그렇게 느껴지게 하는거겠죠 하이틴 로맨스의 풋풋하고 설레이는 감성에 푹 빠져들겠어요 앞으로 두사람의 성장을 즐겁게 지켜볼게요
러브:제로(Love:Zero)(15세 개정판),서양 하이틴 분위기가 잘 살아있네요
러브:제로(Love:Zero)(15세 개정판),재미있어서 술술 읽히네영
러브:제로(Love:Zero)(15세 개정판),톡톡 튀는 하이틴 물 감성이 제대로네요     설레면서 읽었습니다
러브:제로(Love:Zero)(15세 개정판),하이틴 로코 보는 거 같고 설레네요   
러브:제로(Love:Zero)(15세 개정판),하이틴 배경이 취향이에요 술술읽혀요
러브:제로(Love:Zero)(15세 개정판),설정이 무난하고 가볍게 읽기 좋아요
러브:제로(Love:Zero)(15세 개정판),키워드가 취향이라 재밌게 읽었어요
러브:제로(Love:Zero)(15세 개정판),하이틴물 좋아해서 기대되요
러브:제로(Love:Zero)(15세 개정판),하이틴스포츠물이라니 기절
러브:제로(Love:Zero)(15세 개정판),남주매력에 푹빠져서 정주행했어요
러브:제로(Love:Zero)(15세 개정판),각자의 프롬 파트너에게 질투하는 여주와 남주가 귀엽네요 그래도 남주가 조쉬에게 주먹을 휘두르는건 너무 한 것 같은데 지금 서로를 짝사랑중이고 대화 없이 오해만 가득해서 읽으면서 웃음이 나오기도 하고 또 흥미진진해지네요 여주가 먼저 베이비시터도 그만하고 곧 남주의 집에서 독립할 거라며 헤어지자고 통보하는데 과연 남주가 진짜 여주를 좋아하는 마음을 고백할지 궁금해져서 연재 따라가요
러브:제로(Love:Zero)(15세 개정판),인물 감정선이 섬세해서 좋네요
러브:제로(Love:Zero)(15세 개정판),제가 완전 좋아하는 소재랑 전개 스타일이에요
러브:제로(Love:Zero)(15세 개정판),헌터도 올리비아도 서로에게 감겨들었네요  둘의 얽힌 관계가 재밌어요  
러브:제로(Love:Zero)(15세 개정판),신작     기다렸어용   잘보고있어용
러브:제로(Love:Zero)(15세 개정판),정말 간질간질하고 재밌어요  러브 제로 덕분에 대리 설렘 채우고 있습니다   
러브:제로(Love:Zero)(15세 개정판),캐릭터설정이 매력있고 재밌어요
러브:제로(Love:Zero)(15세 개정판),헌터가 어떻게 후회할지 기대됩니다
러브:제로(Love:Zero)(15세 개정판),헌터와 지유의 케미가 좋네요
러브:제로(Love:Zero)(15세 개정판),주인공들 관계가 흥미로워요
러브:제로(Love:Zero)(15세 개정판),작품 전개가 흥미로워요 
러브:제로(Love:Zero)(15세 개정판),올리비아와 헌터 둘 너무 귀엽고 잘 어울려요 서로 다른 두 사람이 호기심을 가지고 경계하다가 감정이 싹트는 과정이 풋풋하고 간질간질해요 하이틴물 좋아해서 더 재미있게 읽었습니다
러브:제로(Love:Zero)(15세 개정판),남주설정이 매력있고 재밌어요
러브:제로(Love:Zero)(15세 개정판),올리비아 매력있네요 외유내강이라 멋집니다
러브:제로(Love:Zero)(15세 개정판),재밌고 스토리 마음에 들어요
러브:제로(Love:Zero)(15세 개정판),미드에 대한 환상 이 소설로 사리사욕 다 채우겠습니다
러브:제로(Love:Zero)(15세 개정판),헌터 성격진짜    저 한성격하는 놈이 지우한테 꼼짝못하고 스며들어가는거 보는게 꿀잼    
러브:제로(Love:Zero)(15세 개정판),하이틴 쳐돌이 너무 재미있게 읽었습니다
러브:제로(Love:Zero)(15세 개정판),완전다른 환경과성격의 헌터와지우 이둘이겪어나가는 감정의변화가 흥미로울듯   
러브:제로(Love:Zero)(15세 개정판),취향인 키워드라 재미있게 보고 있어요 앞으로 전개가 궁금해요
러브:제로(Love:Zero)(15세 개정판),스토리도 흥미롭고 남주와 여주 매력적이라 좋아요  재미있어요 
러브:제로(Love:Zero)(15세 개정판),나름 키워드랑 설정도 흥미롭고 좋아요 
러브:제로(Love:Zero)(15세 개정판),전부 하나같이 매력적이라 재밌게 읽었어요
러브:제로(Love:Zero)(15세 개정판),남주와 여주 서사가 좋네요    스토리도 재미있어요
러브:제로(Love:Zero)(15세 개정판),분위기도 좋고 재미있어요 전개가 흥미진진해서 앞으로 더 기대돼요
러브:제로(Love:Zero)(15세 개정판),스토리가 흥미롭고 분위기도 좋아요 소재가 너무 취향이에요   
러브:제로(Love:Zero)(15세 개정판),술술 읽히고 재미있어요 남주와 여주 관계성도 좋고 흥미로워요 
러브:제로(Love:Zero)(15세 개정판),매력있는 캐릭터와 관계성도 흥미진진하고 기대됩니다
러브:제로(Love:Zero)(15세 개정판),남주랑 여주 둘다 매력있고 소재도 취향이라 흥미진진해요
러브:제로(Love:Zero)(15세 개정판),남주 여주 어울려서 술술 볼 수 있어요
러브:제로(Love:Zero)(15세 개정판),감정선과 서사가 탄탄해서 재밌게 보고 있어요    
러브:제로(Love:Zero)(15세 개정판),남주 매력적이라 시간 가는 줄 모르고 봤어요
러브:제로(Love:Zero)(15세 개정판),주인공 둘 넘 잘 어울려서 술술 읽혀요 
러브:제로(Love:Zero)(15세 개정판),재미있고 등장인물 전부 좋아요   
러브:제로(Love:Zero)(15세 개정판),재밌습니다 남주 감정 변화가 좋네요
러브:제로(Love:Zero)(15세 개정판),나쁜남자 후회남 좋아해서 재밌어요
러브:제로(Love:Zero)(15세 개정판),남여주 둘 다 매력이 넘쳐요    
러브:제로(Love:Zero)(15세 개정판),문체도 잘 맞고 관계가 흥미진진해요
악의 적 (15세 개정판),전체적으로 흥미로워서 다음화 빨리 보고 싶어요
악의 적 (15세 개정판),와 끌려가던 어린 여주를 구한게 남주였다니 읽으면서 소름이 돋았어요  자신이 구하지 않았더라면 죽었을 그 어린 여자아이가 여주였단걸 남주가 먼저 알았는데  국대를 잃고도 원망없이 여주 사건을 위해 형사가 된 거라니 남주의 강한 멘탈이 부럽네요  언니 대신 비겁하게 살아남았다는 죄책감을 가진 여주가 자신을 구해준 게 남주였단걸 알면 어떻게 될지 읽을수록 흥미진진해져서 연재 따라가요
악의 적 (15세 개정판),둘다 능력있어서 매력있어요
악의 적 (15세 개정판),시언과 수영의 케미가 정말 좋네요
악의 적 (15세 개정판),독특한 소재와 전개라서 흥미롭고 재미있어요
악의 적 (15세 개정판),사건물 좋아하는데 넘 재밌어요     
악의 적 (15세 개정판),형사나오는거 좋아하는데 완잔 흥미진진해요    
악의 적 (15세 개정판),재밌게 보고 있어요 수사물 좋아해요
악의 적 (15세 개정판),남여주 조합이 좋고 재밌습니다
악의 적 (15세 개정판),설정이 독특하고 추리물 좋아해서 너무 기대되요
악의 적 (15세 개정판),설정과 캐릭터가 취향에 맞아서 재밌게 읽고 있어요
악의 적 (15세 개정판),키워드가 취향이라 재밌게 읽었어요
악의 적 (15세 개정판),남주여주 관계 흥미롭고 수사물로써도 재밌어요 
악의 적 (15세 개정판),서우진 작가님 좋아하는데 완전 재미있어요
악의 적 (15세 개정판),설정이 흥미롭고 글분위기도 매력있어요
악의 적 (15세 개정판),키워드부터 취향저격이고 재밌어요   
악의 적 (15세 개정판),캐릭터 설정이 취향이라 넘 기대돼요   
악의 적 (15세 개정판),사이비종교를 파헤치는 수사로맨스  너무 기대되네요 
악의 적 (15세 개정판),주인공들의 케미가 좋고 재밌어요
악의 적 (15세 개정판),등장인물이 개성 있고 술술템이에요
악의 적 (15세 개정판),여주 남주 캐릭터 마음에 드네요  
악의 적 (15세 개정판),흥미진진하고 독특해서 재밌는 것 같아요
악의 적 (15세 개정판),키워드 신선해서 시작했는데 술술 보기 좋아요   
악의 적 (15세 개정판),캐디 취향이고 재미있어요 
악의 적 (15세 개정판),분위기와 캐릭터가 독특해서 잘 봤어요  
